usage_id,customer_id,month,feature,usage_count,plan
1,CUST_1000,2023-01-01,Dashboard,12,Pro
2,CUST_1000,2023-01-01,Reports,14,Pro
3,CUST_1000,2023-01-01,User Management,15,Pro
4,CUST_1000,2023-01-01,API Access,7,Pro
5,CUST_1000,2023-02-01,Dashboard,3,Pro
6,CUST_1000,2023-02-01,Reports,6,Pro
7,CUST_1000,2023-02-01,User Management,9,Pro
8,CUST_1000,2023-02-01,API Access,3,Pro
9,CUST_1000,2023-03-01,Dashboard,7,Pro
10,CUST_1000,2023-03-01,Reports,5,Pro
11,CUST_1000,2023-03-01,User Management,6,Pro
12,CUST_1000,2023-03-01,API Access,3,Pro
13,CUST_1000,2023-04-01,Dashboard,7,Pro
14,CUST_1000,2023-04-01,Reports,9,Pro
15,CUST_1000,2023-04-01,User Management,3,Pro
16,CUST_1000,2023-04-01,API Access,7,Pro
17,CUST_1000,2023-05-01,Dashboard,9,Pro
18,CUST_1000,2023-05-01,Reports,9,Pro
19,CUST_1000,2023-06-01,Dashboard,12,Pro
20,CUST_1000,2023-06-01,Reports,5,Pro
21,CUST_1000,2023-06-01,User Management,10,Pro
22,CUST_1000,2023-07-01,Dashboard,6,Pro
23,CUST_1000,2023-07-01,Reports,2,Pro
24,CUST_1000,2023-08-01,Dashboard,5,Pro
25,CUST_1000,2023-08-01,Reports,4,Pro
26,CUST_1000,2023-08-01,User Management,1,Pro
27,CUST_1000,2023-09-01,Dashboard,4,Pro
28,CUST_1000,2023-09-01,Reports,6,Pro
29,CUST_1000,2023-09-01,API Access,5,Pro
30,CUST_1000,2023-10-01,Dashboard,5,Pro
31,CUST_1000,2023-10-01,Reports,7,Pro
32,CUST_1000,2023-10-01,User Management,3,Pro
33,CUST_1000,2023-11-01,Dashboard,7,Pro
34,CUST_1000,2023-11-01,User Management,5,Pro
35,CUST_1000,2023-11-01,Advanced Analytics,5,Pro
36,CUST_1000,2023-12-01,Dashboard,4,Pro
37,CUST_1000,2023-12-01,Reports,5,Pro
38,CUST_1000,2023-12-01,User Management,5,Pro
39,CUST_1000,2023-12-01,API Access,14,Pro
40,CUST_1000,2024-01-01,Dashboard,4,Pro
41,CUST_1000,2024-01-01,Reports,3,Pro
42,CUST_1000,2024-01-01,User Management,8,Pro
43,CUST_1000,2024-01-01,Advanced Analytics,6,Pro
44,CUST_1000,2024-02-01,Dashboard,2,Basic
45,CUST_1000,2024-02-01,Reports,2,Basic
46,CUST_1000,2024-03-01,Dashboard,3,Basic
47,CUST_1000,2024-03-01,Reports,5,Basic
48,CUST_1000,2024-03-01,User Management,3,Basic
49,CUST_1000,2024-04-01,Dashboard,2,Basic
50,CUST_1000,2024-04-01,User Management,2,Basic
51,CUST_1000,2024-05-01,Dashboard,2,Basic
52,CUST_1000,2024-05-01,Reports,2,Basic
53,CUST_1000,2024-06-01,Dashboard,3,Basic
54,CUST_1000,2024-06-01,Reports,1,Basic
55,CUST_1000,2024-06-01,User Management,3,Basic
56,CUST_1000,2024-07-01,Dashboard,2,Basic
57,CUST_1000,2024-08-01,Dashboard,1,Basic
58,CUST_1000,2024-09-01,Dashboard,2,Basic
59,CUST_1000,2024-09-01,Reports,1,Basic
60,CUST_1000,2024-10-01,Dashboard,3,Basic
61,CUST_1000,2024-10-01,Reports,5,Basic
62,CUST_1000,2024-11-01,Dashboard,6,Basic
63,CUST_1000,2024-11-01,Reports,3,Basic
64,CUST_1000,2024-11-01,User Management,3,Basic
65,CUST_1000,2024-12-01,Dashboard,3,Basic
66,CUST_1000,2024-12-01,Reports,6,Basic
67,CUST_1001,2023-01-01,Dashboard,22,Enterprise
68,CUST_1001,2023-01-01,Reports,3,Enterprise
69,CUST_1001,2023-01-01,User Management,3,Enterprise
70,CUST_1001,2023-01-01,Advanced Analytics,5,Enterprise
71,CUST_1001,2023-02-01,Dashboard,12,Enterprise
72,CUST_1001,2023-02-01,Reports,13,Enterprise
73,CUST_1001,2023-02-01,User Management,12,Enterprise
74,CUST_1001,2023-02-01,API Access,9,Enterprise
75,CUST_1001,2023-02-01,Advanced Analytics,7,Enterprise
76,CUST_1001,2023-03-01,Dashboard,22,Enterprise
77,CUST_1001,2023-03-01,Reports,16,Enterprise
78,CUST_1001,2023-03-01,User Management,11,Enterprise
79,CUST_1001,2023-03-01,API Access,3,Enterprise
80,CUST_1001,2023-04-01,Dashboard,12,Enterprise
81,CUST_1001,2023-04-01,Reports,3,Enterprise
82,CUST_1001,2023-04-01,User Management,18,Enterprise
83,CUST_1001,2023-04-01,API Access,3,Enterprise
84,CUST_1001,2023-04-01,Advanced Analytics,15,Enterprise
85,CUST_1001,2023-05-01,Dashboard,14,Enterprise
86,CUST_1001,2023-05-01,Reports,25,Enterprise
87,CUST_1001,2023-05-01,User Management,23,Enterprise
88,CUST_1001,2023-05-01,API Access,17,Enterprise
89,CUST_1001,2023-06-01,Dashboard,18,Enterprise
90,CUST_1001,2023-06-01,Reports,15,Enterprise
91,CUST_1001,2023-06-01,User Management,7,Enterprise
92,CUST_1001,2023-07-01,Dashboard,15,Enterprise
93,CUST_1001,2023-07-01,Reports,17,Enterprise
94,CUST_1001,2023-07-01,User Management,4,Enterprise
95,CUST_1001,2023-08-01,Dashboard,8,Enterprise
96,CUST_1001,2023-08-01,Reports,7,Enterprise
97,CUST_1001,2023-08-01,User Management,9,Enterprise
98,CUST_1001,2023-08-01,API Access,15,Enterprise
99,CUST_1001,2023-08-01,Advanced Analytics,25,Enterprise
100,CUST_1001,2023-09-01,Dashboard,21,Enterprise
101,CUST_1001,2023-09-01,Reports,20,Enterprise
